baskervilles01	0	0	Chapter	Chapter	NN	(NP Chapter	***	OS	_
baskervilles01	0	1	1.	1.	CD	 1.	***	OS	_
baskervilles01	0	2	Mr.	Mr.	NNP	 Mr.	***	OS	_
baskervilles01	0	3	Sherlock	Sherlock	NNP	 Sherlock	***	OS	_
baskervilles01	0	4	Holmes	Holmes	NNP	 Holmes)	***	OS	_

baskervilles01	1_1	0	Mr.	Mr.	NNP	(S(NP(NP Mr.	_	OS	_
baskervilles01	1_1	1	Sherlock	Sherlock	NNP	 Sherlock	_	OS	_
baskervilles01	1_1	2	Holmes	Holmes	NNP	 Holmes)	_	OS	_
baskervilles01	1_1	3	,	,	,	 ,	_	OS	_
baskervilles01	1_1	4	who	who	WP	(SBAR(WHNP who)	_	OS	_
baskervilles01	1_1	5	was	be	VBD	(S(VP was	_	OS	_
baskervilles01	1_1	6	usually	usually	RB	(ADVP usually)	_	OS	_
baskervilles01	1_1	7	very	very	RB	(ADJP very	_	OS	_
baskervilles01	1_1	8	late	late	JJ	 late	_	OS	_
baskervilles01	1_1	9	in	in	IN	(PP in	_	OS	_
baskervilles01	1_1	10	the	the	DT	(NP the	_	OS	_
baskervilles01	1_1	11	mornings	morning	NNS	 mornings)))	_	OS	_
baskervilles01	1_1	12	,	,	,	 ,	_	OS	_
baskervilles01	1_1	13	save	save	VB	(S(VP save	_	OS	_
baskervilles01	1_1	14	upon	upon	IN	(PP upon	_	OS	_
baskervilles01	1_1	15	those	those	DT	(NP those	_	IS	_
baskervilles01	1_1	16	not	not	RB	(ADJP not	_	OS	_
baskervilles01	1_1	17	infrequent	infrequent	JJ	 infrequent)	in	IS	frequent
baskervilles01	1_1	18	occasions	occasion	NNS	 occasions))	_	IS	_
baskervilles01	1_1	19	when	when	WRB	(SBAR(WHADVP when)	_	IS	_
baskervilles01	1_1	20	he	he	PRP	(S(NP he)	_	IS	_
baskervilles01	1_1	21	was	be	VBD	(VP was	_	IS	_
baskervilles01	1_1	22	up	up	RB	(ADVP up)	_	IS	_
baskervilles01	1_1	23	all	all	DT	(NP all	_	IS	_
baskervilles01	1_1	24	night	night	NN	 night)))))))))	_	IS	_
baskervilles01	1_1	25	,	,	,	 ,)	_	OS	_
baskervilles01	1_1	26	was	be	VBD	(VP was	_	OS	_
baskervilles01	1_1	27	seated	seat	VBN	(VP seated	_	OS	_
baskervilles01	1_1	28	at	at	IN	(PP at	_	OS	_
baskervilles01	1_1	29	the	the	DT	(NP the	_	OS	_
baskervilles01	1_1	30	breakfast	breakfast	NN	 breakfast	_	OS	_
baskervilles01	1_1	31	table	table	NN	 table))))	_	OS	_
baskervilles01	1_1	32	.	.	.	 .)	_	OS	_

